what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1438215336716
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1438215336717
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1438215336718
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1438215336719
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1438215336719
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1438215336720
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1438215336721
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1438215336721
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1438215336722
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1438215336723
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1438215336727
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1438215336727
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1438215336728
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1438215336729
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1438215336729
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1438215336729
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1438215336730
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1438215336731
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1438215336731
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1438215336732
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1438215336733
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1438215336734
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1438215336734
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1438215336735
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1438215336737
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1438215336737
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1438215336739
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1438215336739
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1438215336740
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1438215336741
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1438215336742
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1438215336743
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1438215336743
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1438215336744
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1438215336744
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1438215336745
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1438215336745
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1438215336746
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1438215336746
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1438215336746
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1438215336747
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1438215336747
os,sysinfo,,,"win32",1438215336750
arch,sysinfo,,,"x86_64",1438215336750
ws,sysinfo,,,"win32",1438215336750
locale,sysinfo,,,"en_IN",1438215336750
processors,sysinfo,,,"4",1438215336750
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1438215336750
java.runtime.version,sysinfo,,,"1.6.0_45-b06",1438215336750
java.specification.name,sysinfo,,,"Java Platform API Specification",1438215336750
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1438215336750
java.specification.version,sysinfo,,,"1.6",1438215336750
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1438215336750
java.version,sysinfo,,,"1.6.0_45",1438215336750
java.vm.info,sysinfo,,,"mixed mode",1438215336750
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1438215336750
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1438215336750
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1438215336750
java.vm.specification.version,sysinfo,,,"1.0",1438215336750
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1438215336750
java.vm.version,sysinfo,,,"20.45-b01",1438215336750
started,bundle,com.qualityeclipse.favorites,1.0.0,"com.qualityeclipse.favorites",1438215338259
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438215338324
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438215347592
executed,command,com.qualityeclipse.favorites,1.0.0,"com.qualityeclipse.favorites.commands.openExtractStringsWizard",1438215347602
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438215348331
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438215413037
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438215413546
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1438215413724
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1438215413728
