what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.wb.swing.jsr296,1.6.1.r43x201309100023,"org.eclipse.wb.swing.jsr296",1439877523351
stopped,bundle,org.eclipse.wb.swing,1.6.1.r43x201309100023,"org.eclipse.wb.swing",1439877523351
stopped,bundle,org.eclipse.wb.core.ui,1.6.1.r43x201309092325,"org.eclipse.wb.core.ui",1439877523355
stopped,bundle,org.eclipse.wb.core.xml,1.6.1.r43x201309092330,"org.eclipse.wb.core.xml",1439877523355
stopped,bundle,org.eclipse.wb.layout.group,1.6.1.r43x201309092345,"org.eclipse.wb.layout.group",1439877523355
stopped,bundle,org.eclipse.wb.swt,1.6.1.r43x201309092350,"org.eclipse.wb.swt",1439877523355
stopped,bundle,org.eclipse.wb.core.java,1.6.1.r43x201309092318,"org.eclipse.wb.core.java",1439877523355
stopped,bundle,com.qualityeclipse.favorites,1.0.0,"com.qualityeclipse.favorites",1439877523355
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1439877523359
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1439877523359
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.304.v201101251958,"org.eclipse.wst.xsd.ui",1439877523363
activated,perspective,org.eclipse.ui.ide.application,,"org.eclipse.ui.resourcePerspective",1439877537540
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1439877537544
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1439877537544
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1439877537544
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1439877537544
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1439877537564
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1439877537568
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1439877537568
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1439877537568
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1439877537572
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1439877537572
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,"org.eclipse.core.resources",1439877537572
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1439877537576
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1439877537576
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1439877537580
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1439877537580
